Isolate Name,SRR Number,species(ANI),subspecies(ANI),Pseudo_Gene_Flow_Unit(ANI),Closest_Type_Strain(ANI),anthrax_toxin(genes),emetic_toxin_cereulide(genes),diarrheal_toxin_Nhe(genes),diarrheal_toxin_Hbl(genes),diarrheal_toxin_CytK(top_hit),sphingomyelinase_Sph(gene),capsule_Cap(genes),capsule_Has(genes),capsule_Bps(genes),Bt(genes),PubMLST_ST[clonal_complex](perfect_matches),Adjusted_panC_Group(predicted_species),final_taxon_names
PS00125,SRR23629669,pseudomycoides(98.3984),No subspecies,pseudomycoides(99.9515),pseudomycoides(99.8862),0/3(),0/4(),3/3(nheA;nheB;nheC),4/4(hblA;hblB;hblC;hblD),0/1(),0/1(),0/5(),0/3(),1/9(bpsE),0(),83[No clonal complex](7/7),Group_I(pseudomycoides),B. pseudomycoides
PS00193,SRR5185018,mosaicus(93.3745),No subspecies,albus(99.3522),albus(97.914),0/3(),0/4(),3/3(nheA;nheB;nheC),4/4(hblA;hblB;hblC;hblD),1/1(cytK-2),1/1(sph),0/5(),0/3(),2/9(bpsE;bpsH),0(),1096[No clonal complex](7/7),Group_II(mosaicus/luti),B. mosaicus
PS00194,NZ_CP024109.1,cytotoxicus(99.5478),No subspecies,cytotoxicus(99.1057),cytotoxicus(99.9328),0/3(),0/4(),3/3(nheA;nheB;nheC),0/4(),1/1(cytK-1),1/1(sph),0/5(),0/3(),1/9(bpsE),0(),2121[No clonal complex](7/7),Group_VII(cytotoxicus),B. cytotoxicus
PS00402,SRR23629691,cereus s.s.(98.6968),No subspecies,frankland(98.6984),cereus(96.8464),0/3(),0/4(),3/3(nheA;nheB;nheC),4/4(hblA;hblB;hblC;hblD),1/1(cytK-2),1/1(sph),0/5(),0/3(),1/9(bpsE),10(Cry1Ac6;Cry1Ah2;Cry1Cb-like;Cry1H-like;Cry1I-like;Cry1Ia10/Cry1Ia14/Cry1Ia19/Cry1Ia2/Cry1Ia34/Cry1Ia36/Cry1Ia39/Cry1Ia40;Cry1Ie4;Cry2Aa25;Cry2Ah4;Vip3Aa53),8[ST-8 complex](7/7),Group_IV(cereus_sensu_stricto),B. cereus s.s. biovar Thuringiensis; B. Thuringiensis
PS00407,SRR13988985,cereus s.s.(98.6556),No subspecies,frankland(98.6556),cereus(96.8231),0/3(),0/4(),3/3(nheA;nheB;nheC),4/4(hblA;hblB;hblC;hblD),1/1(cytK-2),1/1(sph),0/5(),0/3(),1/9(bpsE),11(Cry1Ab-like;Cry1Ac12;Cry1Ac13;Cry1Ac21/Cry1Ac29;Cry1Ah2;Cry1H-like;Cry1I-like;Cry1Ia10/Cry1Ia14/Cry1Ia19/Cry1Ia2/Cry1Ia34/Cry1Ia36/Cry1Ia39/Cry1Ia40;Cry2Aa25;Cry2Ah4;Vip3Aa53),8[ST-8 complex](7/7),Group_IV(cereus_sensu_stricto),B. cereus s.s. biovar Thuringiensis; B. Thuringiensis
PS00413,SRR13988908,cereus s.s.(95.9127),No subspecies,berliner(96.5454),thuringiensis(96.3687),0/3(),0/4(),3/3(nheA;nheB;nheC),4/4(hblA;hblB;hblC;hblD),0/1(),1/1(sph),0/5(),0/3(),1/9(bpsE),0(),23[ST-23 complex](7/7),Group_IV(cereus_sensu_stricto),B. cereus s.s.
PS00433,SRR13988883,cereus s.s.(97.0289),No subspecies,frankland(97.0289),cereus(97.7718),0/3(),0/4(),1/3(nheB),2/4(hblA;hblD),1/1(cytK-2),0/1(),0/5(),0/3(),2/9(bpsE;bpsH),0(),Unknown(unknown ST),Group_IV(cereus_sensu_stricto),B. cereus s.s.
PS00457,SRR13988862,mosaicus(94.6202),No subspecies,cereus(99.3037),tropicus(99.4841),0/3(),0/4(),3/3(nheA;nheB;nheC),0/4(),1/1(cytK-2),1/1(sph),0/5(),0/3(),1/9(bpsE),0(),2559[No clonal complex](6/7),Group_II(mosaicus/luti),B. mosaicus
PS00474,SRR13988850,mosaicus(94.36),No subspecies,cereus(96.0426),pacificus(98.3469),0/3(),0/4(),3/3(nheA;nheB;nheC),0/4(),1/1(cytK-2),1/1(sph),0/5(),0/3(),1/9(bpsE),0(),1032[No clonal complex](7/7),Group_III(mosaicus),B. mosaicus
PS00495,SRR13988829,cereus s.s.(98.7033),No subspecies,frankland(98.7033),cereus(96.9331),0/3(),0/4(),3/3(nheA;nheB;nheC),4/4(hblA;hblB;hblC;hblD),1/1(cytK-2),1/1(sph),0/5(),0/3(),1/9(bpsE),14(Cry1Aa6;Cry1Ab33;Cry1Ac1/Cry1Ac10/Cry1Ac4/Cry1Ac7/Cry1Ac8/Cry1Ac9;Cry1Ac12;Cry1Ac21/Cry1Ac29;Cry1Ah2;Cry1Cb-like;Cry1Cb3;Cry1H-like;Cry1I-like;Cry1Ia10/Cry1Ia14/Cry1Ia19/Cry1Ia2/Cry1Ia34/Cry1Ia36/Cry1Ia39/Cry1Ia40;Cry2Aa25;Cry2Ah4;Vip3Aa53),8[ST-8 complex](7/7),Group_IV(cereus_sensu_stricto),B. cereus s.s. biovar Thuringiensis; B. Thuringiensis
PS00518,SRR13989003,mosaicus(93.1995),No subspecies,mobilis*(96.5817),mobilis(96.4927),0/3(),0/4(),3/3(nheA;nheB;nheC),0/4(),1/1(cytK-2),1/1(sph),0/5(),0/3(),2/9(bpsE;bpsH),0(),Unknown(unknown ST),Group_II(mosaicus/luti)*,B. mosaicus
PS00536,SRR13988990,cytotoxicus(99.5405),No subspecies,cytotoxicus(99.1615),cytotoxicus(99.9557),0/3(),0/4(),3/3(nheA;nheB;nheC),0/4(),1/1(cytK-1),1/1(sph),0/5(),0/3(),1/9(bpsE),0(),2121[No clonal complex](7/7),Group_VII(cytotoxicus),B. cytotoxicus
PS00564,SRR13988960,mosaicus(94.3997),No subspecies,UnknownGeneFlowUnit15*(99.5968),tropicus(94.3929),0/3(),0/4(),3/3(nheA;nheB;nheC),4/4(hblA;hblB;hblC;hblD),0/1(),1/1(sph),0/5(),0/3(),1/9(bpsE),0(),1766[No clonal complex](7/7),Group_II(mosaicus/luti),B. mosaicus
PS00570,SRR13988955,toyonensis(99.467),No subspecies,toyonensis(99.488),toyonensis(99.488),0/3(),0/4(),3/3(nheA;nheB;nheC),3/4(hblA;hblB;hblD),0/1(),1/1(sph),0/5(),0/3(),1/9(bpsE),0(),718[ST-111 complex](7/7),Group_V(toyonensis),B. toyonensis
PS00638,SRR13988845,toyonensis(99.5667),No subspecies,toyonensis(99.5814),toyonensis(99.5505),0/3(),0/4(),3/3(nheA;nheB;nheC),4/4(hblA;hblB;hblC;hblD),0/1(),1/1(sph),0/5(),0/3(),1/9(bpsE),0(),111[ST-111 complex](7/7),Group_V(toyonensis),B. toyonensis
PS00649,SRR23629673,cereus s.s.(96.0126),No subspecies,berliner(96.4785),thuringiensis(96.0251),0/3(),0/4(),3/3(nheA;nheB;nheC),4/4(hblA;hblB;hblC;hblD),0/1(),1/1(sph),0/5(),0/3(),1/9(bpsE),7(Cry23Aa1;Cry37Aa1;Cry3Aa1/Cry3Aa7;Cry3Bb3;Vip2Aa1;Vip2Ae1;Vip2Ba2),23[ST-23 complex](7/7),Group_IV(cereus_sensu_stricto),B. cereus s.s. biovar Thuringiensis; B. Thuringiensis
